Location name,Amount spent (JPY)
Aichi Prefecture,34785
Akita Prefecture,2802
Aomori Prefecture,4693
Chiba Prefecture,37140
Ehime Prefecture,4552
Fukui Prefecture,2683
Fukuoka Prefecture,45212
Fukushima Prefecture,6521
Gifu Prefecture,7011
Gunma Prefecture,7176
Hiroshima Prefecture,9913
Hokkaido,18604
Hyōgo Prefecture,26504
Ibaraki Prefecture,9017
Ishikawa Prefecture,4279
Iwate Prefecture,5847
Kagawa Prefecture,5113
Kagoshima Prefecture,4636
Kanagawa Prefecture,62475
Kumamoto Prefecture,7871
Kyoto Prefecture,15988
Kōchi Prefecture,1778
Mie Prefecture,6328
Miyagi Prefecture,14965
Miyazaki Prefecture,3207
Nagano Prefecture,6487
Nagasaki Prefecture,4898
Nara Prefecture,5082
Niigata Prefecture,5919
Okayama Prefecture,9972
Okinawa Prefecture,10853
Osaka Prefecture,50349
Saga Prefecture,3575
Saitama Prefecture,30556
Shiga Prefecture,5072
Shimane Prefecture,2002
Shizuoka Prefecture,12275
Tochigi Prefecture,5950
Tokushima Prefecture,1912
Tokyo,97044
Tottori Prefecture,1226
Toyama Prefecture,2512
Unknown,≤100
Wakayama Prefecture,2808
Yamagata Prefecture,3631
Yamaguchi Prefecture,4151
Yamanashi Prefecture,2822
Ōita Prefecture,4646
