Location name,Amount spent (VND)
An Giang Province,196436
Bà Rịa–Vũng Tàu Province,51253
Bình Dương Province,97590
Bình Phước Province,28223
Bình Thuận Province,17975
Bình Định Province,114061
Bạc Liêu Province,11003
Bắc Giang Province,83468
Bắc Kạn Province,9783
Bắc Ninh Province,62158
Bến Tre Province,13272
Cao Bằng Province,13284
Cà Mau Province,20403
Cần Thơ,16742
Da Nang,143901
Gia Lai Province,23647
Haiphong,108067
Ho Chi Minh City,1419226
Hà Giang Province,18733
Hà Nam Province,24967
Hà Tĩnh Province,84170
Hòa Bình Province,18908
Hưng Yên Province,33958
Hải Dương Province,96155
Hậu Giang Province,3335
Khánh Hòa Province,33473
Kiên Giang Province,22635
Kon Tum Province,10668
Lai Châu Province,4848
Long An Province,33051
Lào Cai Province,14564
Lâm Đồng Province,32210
Lạng Sơn Province,37669
Nam Định Province,52438
Nghệ An Province,160022
Ninh Bình Province,24199
Ninh Thuận Province,7341
Phú Thọ Province,117794
Phú Yên Province,15343
Quảng Bình Province,42050
Quảng Nam Province,26889
Quảng Ngãi Province,48255
Quảng Ninh Province,64775
Quảng Trị Province,21936
Sóc Trăng Province,10224
Sơn La Province,27936
Thanh Hóa Province,123454
Thái Bình Province,61854
Thái Nguyên Province,64607
Thừa Thiên–Huế Province,21861
Tiền Giang Province,24519
Trà Vinh Province,12014
Tuyên Quang Province,38032
Tây Ninh Province,23884
Unknown,123
Vĩnh Long Province,7482
Vĩnh Phúc Province,40821
Yên Bái Province,40847
Điện Biên Province,15179
Đắk Lắk Province,48819
Đắk Nông Province,12398
Đồng Nai Province,100676
Đồng Tháp Province,13090
