Location name,Amount spent (USD)
Alabama,10365
Alaska,2176
Arizona,26439
Arkansas,6555
California,96155
Colorado,14107
Connecticut,7282
Delaware,2432
Florida,56524
Georgia,35712
Guam,105
Hawaii,2911
Idaho,5598
Illinois,26617
Indiana,16939
Iowa,11976
Kansas,8939
Kentucky,10074
Louisiana,28165
Maine,6028
Maryland,22654
Massachusetts,15927
Michigan,32984
Minnesota,11720
Mississippi,8768
Missouri,15531
Montana,3540
Nebraska,4221
Nevada,8328
New Hampshire,3256
New Jersey,25561
New Mexico,6241
New York,52235
North Carolina,24318
North Dakota,1826
Ohio,30246
Oklahoma,10528
Oregon,18419
Pennsylvania,40573
Puerto Rico,≤100
Rhode Island,2750
South Carolina,9745
South Dakota,1608
Tennessee,15485
Texas,81181
Unknown,≤100
Utah,8314
Vermont,1581
Virgin Islands (U.S.),≤100
Virginia,29000
Washington,27869
"Washington, District of Columbia",14561
West Virginia,5229
Wisconsin,16995
Wyoming,1237
