Location name,Amount spent (DKK)
Capital Region of Denmark,42582
Central Denmark Region,20597
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9723
Region of Southern Denmark,16674
Unknown,≤100
Zealand Region,19362
