Location name,Amount spent (IDR)
Aceh,1350855
Bali,2095088
Bangka–Belitung Islands,336895
Banten,1574524
Bengkulu,525035
Central Java,6879938
Central Kalimantan,534848
Central Sulawesi,685527
East Java,8445062
East Kalimantan,1358927
East Nusa Tenggara,1005697
Gorontalo,425497
Jakarta,4623710
Jambi,616504
Lampung,3101417
Maluku,485968
North Kalimantan,219446
North Maluku,346667
North Sulawesi,1437685
North Sumatra,2321466
Papua (province),620561
Riau,1283005
Riau Islands Province,865776
South Kalimantan,770407
South Sulawesi,2695382
South Sumatra,2073385
Southeast Sulawesi,474371
Special Region of Yogyakarta,932337
Unknown,1054
West Java,7725878
West Kalimantan,2059414
West Nusa Tenggara,924407
West Papua,279329
West Sulawesi,281209
West Sumatra,1967733
