Location name,Amount spent (NOK)
Akershus,8503
Aust-Agder,1440
Buskerud,3644
Finnmark,1022
Hedmark,2828
Hordaland,8749
Møre og Romsdal,3420
Nord-Trøndelag,1896
Nordland,3525
Oppland,2462
Oslo,16562
Rogaland,4889
Sogn og Fjordane,1288
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,6879
Telemark,3051
Troms,2398
Unknown,≤100
Vest-Agder,2895
Vestfold,3018
Østfold,4822
