Location name,Amount spent (AUD)
Australian Capital Territory,3360
Jervis Bay Territory,≤100
New South Wales,22422
Norfolk Island,≤100
Northern Territory,605
Queensland,16239
South Australia,4554
Tasmania,2182
Unknown,≤100
Victoria,22422
Western Australia,8902
