Location name,Amount spent (EUR)
Alsace,639
Aquitaine,1392
Auvergne,415
Basse-Normandie,445
Bourgogne,504
Bretagne,1176
Centre,848
Champagne-Ardenne,415
Corse,130
Franche-Comté,347
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,620
Languedoc-Roussillon,1245
Limousin,233
Lorraine,806
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1173
New Caledonia,≤100
Nord-Pas-de-Calais,1426
Pays de la Loire,1567
Picardie,584
Poitou-Charentes,649
Provence-Alpes-Côte d'Azur,2279
Reunion Island,≤100
Rhône-Alpes,2394
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4808
