Location name,Amount spent (CLP)
Antofagasta Region,122192
Araucanía Region,191876
Arica y Parinacota Region,52175
Atacama Region,45984
Aysén Region,44845
Bío Bío Region,453040
Coquimbo Region,129300
Los Lagos Region,208430
Los Ríos Region,65718
Magallanes y la Antártica Chilena Region,34396
Maule Region,158367
O'Higgins Region,139847
Santiago Metropolitan Region,1585159
Tarapacá Region,52408
Unknown,553
Valparaíso Region,353355
