Location name,Amount spent (TRY)
Adana Province,4336
Adıyaman Province,155
Afyonkarahisar Province,718
Aksaray Province,426
Amasya Province,347
Ankara Province,14492
Antalya Province,8527
Ardahan Province,≤100
Artvin Province,210
Aydın Province,1478
Ağrı Province,≤100
Balıkesir Province,1503
Bartın Province,215
Batman Province,224
Bayburt Province,≤100
Bilecik Province,434
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,372
Burdur Province,514
Bursa Province,7421
Denizli Province,1231
Diyarbakır Province,411
Düzce Province,590
Edirne Province,283
Elazığ Province,259
Erzincan Province,130
Erzurum Province,430
Eskişehir Province,2807
Gaziantep Province,4311
Giresun Province,489
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1039
Isparta Province,586
Istanbul Province,40492
Iğdır Province,≤100
Kahramanmaraş Province,786
Karabük Province,402
Karaman Province,396
Kars Province,≤100
Kastamonu Province,477
Kayseri Province,5353
Kilis Province,141
Kocaeli Province,6939
Konya Province,2338
Kütahya Province,693
Kırklareli Province,284
Kırıkkale Province,962
Kırşehir Province,214
Malatya Province,435
Manisa Province,2762
Mardin Province,287
Mersin Province,1879
Muğla Province,1038
Muş Province,≤100
Nevşehir Province,252
Niğde Province,359
Ordu Province,781
Osmaniye Province,621
Rize Province,405
Sakarya Province,593
Samsun Province,1700
Siirt Province,≤100
Sinop Province,191
Sivas Province,600
Tekirdağ Province,1382
Tokat Province,1155
Trabzon Province,869
Tunceli Province,≤100
Unknown,≤100
Uşak Province,482
Van Province,225
Yalova Province,610
Yozgat Province,307
Zonguldak Province,2085
Çanakkale Province,526
Çankırı Province,148
Çorum Province,697
İzmir Province,13158
Şanlıurfa Province,1701
Şırnak Province,129
