Location name,Amount spent (TWD)
Changhua,7265
Chiayi,1899
Hsinchu,3936
Hsinchu City,6436
Hualien,2491
Kaohsiung,22192
Keelung City,3133
Kinmen,644
Lienchiang,≤100
Miaoli,3309
Nantou,3211
New Taipei City,40489
Penghu,588
Pingtung,4588
Taichung,25699
Tainan,14798
Taipei,33582
Taitung,2200
Taoyuan City,21919
Unknown,3559
Yilan,2856
Yunlin,4262
