Location name,Amount spent (INR)
Andaman and Nicobar Islands,961
Andhra Pradesh,48853
Arunachal Pradesh,2889
Assam,13558
Bihar,47355
Chandigarh,2815
Chhattisgarh,27618
Dadra and Nagar Haveli,902
Delhi,48292
Goa,10417
Gujarat,54741
Haryana,46483
Himachal Pradesh,13174
Jammu and Kashmir,8155
Jharkhand,14640
Karnataka,245123
Kerala,12215
Lakshadweep,≤100
Madhya Pradesh,78991
Maharashtra,139958
Manipur,1609
Meghalaya,1006
Mizoram,390
Nagaland,1184
Odisha,14060
Puducherry,1035
Punjab region,15304
Rajasthan,114998
Sikkim,650
Tamil Nadu,33062
Telangana,66950
Tripura,2292
Unknown,≤100
Uttar Pradesh,102512
Uttarakhand,13798
West Bengal,45155
