Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,341
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,116
Dohuk Governorate,149
Erbil Governorate,345
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,127
Saladin Governorate,≤100
Sulaymaniyah Governorate,608
Unknown,≤100
Wasit Governorate,≤100
