Location name,Amount spent (THB)
Amnat Charoen,108
Ang Thong,≤100
Ayutthaya,619
Bangkok,21953
Bueng Kan,101
Buriram,365
Chachoengsao,871
Chai Nat,110
Chaiyaphum,244
Chanthaburi,238
Chiang Mai,3371
Chiang Rai,427
Chon Buri,4383
Chumphon,526
Kalasin,252
Kamphaeng Phet,218
Kanchanaburi,475
Khon Kaen,709
Krabi,440
Lampang,451
Lamphun,164
Loei,284
Lop Buri,235
Mae Hong Son,375
Maha Sarakham,272
Mukdahan,130
Nakhon Nayok,≤100
Nakhon Pathom,642
Nakhon Phanom,391
Nakhon Ratchasima,909
Nakhon Sawan,662
Nakhon Si Thammarat,2490
Nan,393
Narathiwat,203
Nong Bua Lam Phu,134
Nong Khai,165
Nonthaburi,880
Pathum Thani,1114
Pattani,274
Phangnga,368
Phatthalung,438
Phayao,292
Phetchabun,234
Phetchaburi,542
Phichit,324
Phitsanulok,3616
Phrae,493
Phuket,3784
Prachin Buri,207
Prachuap Khiri Khan,321
Ranong,150
Ratchaburi,467
Rayong,759
Roi Et,316
Sa Kaeo,158
Sakon Nakhon,295
Samut Prakan,873
Samut Sakhon,777
Samut Songkhram,≤100
Saraburi,292
Satun,212
Sing Buri,≤100
Sisaket,379
Songkhla,1527
Sukhothai,436
Suphan Buri,273
Surat Thani,10504
Surin,336
Tak,261
Trang,383
Trat,≤100
Ubon Ratchathani,648
Udon Thani,463
Unknown,≤100
Uthai Thani,≤100
Uttaradit,717
Yala Province,215
Yasothon,155
