Location name,Amount spent (AOA)
Bengo Province,≤100
Benguela Province,3083
Bié Province,833
Cabinda Province,1258
Cuando Cubango Province,≤100
Cuanza Norte Province,≤100
Cuanza Sul Province,317
Cunene Province,≤100
Huambo Province,1730
Huíla Province,1667
Luanda Province,23274
Lunda Norte Province,267
Lunda Sul Province,≤100
Malanje Province,350
Moxico Province,308
Namibe Province,567
Uíge Province,833
Zaire Province,375
