Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,128
Baghdad Governorate,476
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,216
Erbil Governorate,533
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,168
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,152
Saladin Governorate,≤100
Sulaymaniyah Governorate,448
Unknown,≤100
Wasit Governorate,≤100
