Location name,Amount spent (SEK)
Blekinge County,3020
Dalarna County,5623
Gotland County,1685
Gävleborg County,5540
Halland County,6486
Jämtland County,2679
Jönköping County,6790
Kalmar County,4935
Kronoberg County,3481
Norrbotten County,4791
Skåne County,26073
Stockholm County,52559
Södermanland County,5781
Unknown,≤100
Uppsala County,7658
Värmland County,5289
Västerbotten County,5089
Västernorrland County,4695
Västmanland County,5056
Västra Götaland County,36233
Örebro County,6112
Östergötland County,8682
