Location name,Amount spent (HTG)
Artibonite Department,709
Centre Department,143
Grand'Anse Department,163
Nippes Department,143
Nord Department,446
Nord-Est Department,140
Nord-Ouest Department,141
Ouest Department,2570
Sud Department,169
Sud-Est Department,140
Unknown,≤100
