Location name,Amount spent (CAD)
Alberta,15551
British Columbia,13690
Manitoba,2949
New Brunswick,1818
Newfoundland and Labrador,1285
Northwest Territories,161
Nova Scotia,1611
Nunavut,198
Ontario,24508
Prince Edward Island,355
Quebec,15759
Saskatchewan,1805
Unknown,≤100
Yukon,182
