Location name,Amount spent (VEF)
Amazonas,352501
Anzoátegui,21790879
Apure,1702505
Aragua,5447391
Barinas,3000000
Bolívar (state),6000000
Capital District,12709100
Carabobo,22750000
Cojedes,16015013
Delta Amacuro,250000
Falcón,3750000
Guárico,2500000
Lara,11332533
Miranda (state),4286641
Monagas,2250000
Mérida,4000000
Nueva Esparta,17237551
Portuguesa,3112509
Sucre,2000000
Trujillo,2295007
Táchira,7525022
Unknown,≤100
Vargas,1025500
Yaracuy,2500000
Zulia,24500000
