Location name,Amount spent (EUR)
Central Finland,237
Central Ostrobothnia,≤100
Etelä-Savo,111
Kainuu,≤100
Kymenlaakso,166
Lapland (Finland),145
North Karelia,116
Northern Ostrobothnia,337
Ostrobothnia (region),165
Pirkanmaa,498
Pohjois-Savo,194
Päijät-Häme,297
Satakunta,188
South Karelia,111
Southern Ostrobothnia,175
Southwest Finland,458
Tavastia Proper,204
Unknown,≤100
Uusimaa,1808
Åland Islands,≤100
