Location name,Amount spent (RON)
Alba County,539
Arad County,858
Argeș County,1936
Bacău County,850
Bihor County,817
Bistrița-Năsăud County,473
Botoșani County,798
Brașov County,1161
Brăila County,423
Bucharest,5424
Buzău County,740
Caraș-Severin County,359
Cluj County,1166
Constanța County,1012
Covasna County,324
Călărași County,373
Dolj County,1633
Dâmbovița County,1150
Galați County,866
Giurgiu County,235
Gorj County,694
Harghita County,599
Hunedoara County,567
Ialomița County,264
Iași County,1435
Ilfov County,487
Maramureș County,637
Mehedinți County,311
Mureș County,1230
Neamț County,912
Olt County,903
Prahova County,1000
Satu Mare County,706
Sibiu County,787
Suceava County,1161
Sălaj County,345
Teleorman County,321
Timiș County,1153
Tulcea County,235
Unknown,≤100
Vaslui County,424
Vrancea County,860
Vâlcea County,853
