Location name,Amount spent (USD)
Al Anbar Governorate,108
Al-Qādisiyyah Governorate,≤100
Babil Governorate,109
Baghdad Governorate,499
Basra Governorate,147
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,157
Erbil Governorate,268
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,101
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,179
Saladin Governorate,≤100
Sulaymaniyah Governorate,266
Unknown,≤100
Wasit Governorate,≤100
