Location name,Amount spent (JPY)
Aichi Prefecture,35343
Akita Prefecture,4400
Aomori Prefecture,4693
Chiba Prefecture,30468
Ehime Prefecture,4920
Fukui Prefecture,3135
Fukuoka Prefecture,44273
Fukushima Prefecture,6016
Gifu Prefecture,11776
Gunma Prefecture,8109
Hiroshima Prefecture,13140
Hokkaido,23584
Hyōgo Prefecture,23728
Ibaraki Prefecture,10091
Ishikawa Prefecture,5861
Iwate Prefecture,4886
Kagawa Prefecture,4875
Kagoshima Prefecture,5300
Kanagawa Prefecture,63637
Kumamoto Prefecture,9576
Kyoto Prefecture,15537
Kōchi Prefecture,2242
Mie Prefecture,6579
Miyagi Prefecture,14538
Miyazaki Prefecture,4444
Nagano Prefecture,9478
Nagasaki Prefecture,7100
Nara Prefecture,6015
Niigata Prefecture,7908
Okayama Prefecture,11622
Okinawa Prefecture,9524
Osaka Prefecture,46871
Saga Prefecture,4744
Saitama Prefecture,40439
Shiga Prefecture,6300
Shimane Prefecture,3952
Shizuoka Prefecture,13244
Tochigi Prefecture,5982
Tokushima Prefecture,3281
Tokyo,114190
Tottori Prefecture,1541
Toyama Prefecture,3481
Unknown,≤100
Wakayama Prefecture,6378
Yamagata Prefecture,4058
Yamaguchi Prefecture,5176
Yamanashi Prefecture,3674
Ōita Prefecture,7875
