Location name,Amount spent (SEK)
Blekinge County,3102
Dalarna County,5836
Gotland County,1942
Gävleborg County,5815
Halland County,6595
Jämtland County,2663
Jönköping County,7189
Kalmar County,5270
Kronoberg County,3486
Norrbotten County,4710
Skåne County,26978
Stockholm County,58991
Södermanland County,6280
Unknown,≤100
Uppsala County,8751
Värmland County,5559
Västerbotten County,5046
Västernorrland County,4538
Västmanland County,5533
Västra Götaland County,37149
Örebro County,6528
Östergötland County,9640
