Location name,Amount spent (EUR)
Alytus County,1200
Kaunas County,4387
Klaipėda County,2945
Marijampolė County,509
Panevėžys County,905
Tauragė County,357
Telšiai County,847
Unknown,≤100
Utena County,948
Vilnius County,9362
Šiauliai County,1552
