Location name,Amount spent (TWD)
Changhua,8127
Chiayi,1656
Hsinchu,4751
Hsinchu City,6411
Hualien,3825
Kaohsiung,26547
Keelung City,5976
Kinmen,471
Lienchiang,≤100
Miaoli,3696
Nantou,2753
New Taipei City,42203
Penghu,635
Pingtung,5082
Taichung,30505
Tainan,15870
Taipei,30744
Taitung,1678
Taoyuan City,24486
Unknown,3161
Yilan,2752
Yunlin,4104
