Location name,Amount spent (AUD)
Australian Capital Territory,838
Jervis Bay Territory,≤100
New South Wales,37722
Northern Territory,410
Queensland,8643
South Australia,2745
Tasmania,1326
Unknown,≤100
Victoria,10610
Western Australia,4102
