Location name,Amount spent (EUR)
Alsace,528
Aquitaine,1076
Auvergne,325
Basse-Normandie,362
Bourgogne,441
Bretagne,883
Centre,614
Champagne-Ardenne,314
Corse,150
Franche-Comté,265
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,492
Languedoc-Roussillon,1008
Limousin,179
Lorraine,635
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,906
New Caledonia,≤100
Nord-Pas-de-Calais,1000
Pays de la Loire,908
Picardie,549
Poitou-Charentes,480
Provence-Alpes-Côte d'Azur,1998
Reunion Island,≤100
Rhône-Alpes,1957
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3646
