Location name,Amount spent (SEK)
Blekinge County,3291
Dalarna County,7089
Gotland County,1510
Gävleborg County,6351
Halland County,6933
Jämtland County,3452
Jönköping County,7921
Kalmar County,4863
Kronoberg County,4515
Norrbotten County,5926
Skåne County,30032
Stockholm County,60509
Södermanland County,6516
Unknown,≤100
Uppsala County,11122
Värmland County,5785
Västerbotten County,7274
Västernorrland County,5463
Västmanland County,5861
Västra Götaland County,40184
Örebro County,6884
Östergötland County,9911
