Location name,Amount spent (SEK)
Blekinge County,3165
Dalarna County,6004
Gotland County,1748
Gävleborg County,5835
Halland County,6547
Jämtland County,2650
Jönköping County,7536
Kalmar County,5144
Kronoberg County,3594
Norrbotten County,4925
Skåne County,26041
Stockholm County,53270
Södermanland County,6245
Unknown,≤100
Uppsala County,8097
Värmland County,5831
Västerbotten County,5091
Västernorrland County,4742
Västmanland County,5327
Västra Götaland County,39068
Örebro County,6427
Östergötland County,9223
