Location name,Amount spent (NOK)
Akershus,2977
Aust-Agder,813
Buskerud,1093
Finnmark,486
Hedmark,814
Hordaland,2316
Møre og Romsdal,1176
Nord-Trøndelag,544
Nordland,1041
Oppland,770
Oslo,5732
Rogaland,2057
Sogn og Fjordane,462
Sør-Trøndelag,1471
Telemark,1441
Troms,1113
Unknown,≤100
Vest-Agder,1579
Vestfold,1298
Østfold,1261
