Location name,Amount spent (USD)
Azuay Province,3398
Bolívar Province,283
Carchi Province,312
Cañar Province,765
Chimborazo Province,1181
Cotopaxi Province,934
El Oro Province,3543
Esmeraldas Province,1043
Galápagos Province,199
Guayas Province,10711
Imbabura Province,1311
Loja Province,1166
Los Ríos Province,3135
Manabí Province,5261
Morona-Santiago Province,348
Napo Province,177
Orellana Province,305
Pastaza Province,255
Pichincha Province,7163
Santa Elena Province,960
Santo Domingo de los Tsáchilas Province,2163
Sucumbíos Province,699
Tungurahua Province,1317
Unknown,≤100
Zamora-Chinchipe Province,229
