Location name,Amount spent (VND)
An Giang Province,28375
Bà Rịa–Vũng Tàu Province,17215
Bình Dương Province,46790
Bình Phước Province,18004
Bình Thuận Province,19395
Bình Định Province,72293
Bạc Liêu Province,9439
Bắc Giang Province,27623
Bắc Kạn Province,7502
Bắc Ninh Province,15089
Bến Tre Province,15387
Cao Bằng Province,114210
Cà Mau Province,14105
Cần Thơ,11640
Da Nang,14078
Gia Lai Province,18415
Haiphong,21008
Ho Chi Minh City,113060
Hà Giang Province,9727
Hà Nam Province,9614
Hà Tĩnh Province,60283
Hòa Bình Province,14865
Hưng Yên Province,11618
Hải Dương Province,22597
Hậu Giang Province,4986
Khánh Hòa Province,15326
Kiên Giang Province,17661
Kon Tum Province,9373
Lai Châu Province,3126
Long An Province,15943
Lào Cai Province,10817
Lâm Đồng Province,16751
Lạng Sơn Province,19106
Nam Định Province,18830
Nghệ An Province,177950
Ninh Bình Province,12093
Ninh Thuận Province,9453
Phú Thọ Province,20578
Phú Yên Province,15873
Quảng Bình Province,14758
Quảng Nam Province,27654
Quảng Ngãi Province,17606
Quảng Ninh Province,17656
Quảng Trị Province,13993
Sóc Trăng Province,14729
Sơn La Province,21357
Thanh Hóa Province,43794
Thái Bình Province,22098
Thái Nguyên Province,48346
Thừa Thiên–Huế Province,23257
Tiền Giang Province,21507
Trà Vinh Province,15785
Tuyên Quang Province,16128
Tây Ninh Province,15231
Unknown,≤100
Vĩnh Long Province,10413
Vĩnh Phúc Province,13238
Yên Bái Province,77560
Điện Biên Province,9677
Đắk Lắk Province,33838
Đắk Nông Province,13038
Đồng Nai Province,104973
Đồng Tháp Province,17245
