Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
737169626371453,Heimildin,Stundin,46822,7
623887187646891,Bókamarkaðurinn,These ads ran without a disclaimer,10281,1
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,7650,2
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,6350,11
152804904889,Samfylkingin,Samfylkingin,5241,2
156161194561570,Kjarninn,Kjarninn,3726,1
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,3501,4
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,3254,2
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,1922,2
128854307193614,Landsvirkjun,Landsvirkjun,1503,1
154893001218870,ADHD samtökin,ADHD samtökin,1498,4
357896717565932,Jóhanna Gunnarsdóttir í stjórn VR 2023,Jóhanna Gunnarsdóttir í stjórn VR 2023,1398,1
41445084925,Röskva - stúdentahreyfing,Röskva - stúdentahreyfing,1381,3
102133046017049,Evrópuhreyfingin,Evrópuhreyfingin,1223,1
622220361283956,Samorka,Samorka,1158,1
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,1073,1
106979180938014,Samstöðin,Samstöðin ehf,999,1
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,973,1
165630723862615,Andríki,Andríki,774,1
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,721,1
509866436098947,Sabine Leskopf,Sabine Leskopf,310,1
823788047675556,Call of War,These ads ran without a disclaimer,305,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,305,1
1693693237557525,HiBob,These ads ran without a disclaimer,174,3
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,152,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,3
111508197374332,ADB Southeast Asia Development Solutions - SEADS,These ads ran without a disclaimer,≤100,1
106776559007113,Новости дня,These ads ran without a disclaimer,≤100,1
423670114403144,Trending in China,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
328734170817962,Milda Sabiene - Holistic Coach,These ads ran without a disclaimer,≤100,2
