Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,505
Apurímac Region,218
Arequipa Region,872
Ayacucho Region,325
Cajamarca Region,388
Callao,235
Cusco Region,725
Huancavelica Region,≤100
Huánuco Region,279
Ica Region,482
Junín Region,513
La Libertad Region,797
Lambayeque Region,520
Lima Region,5281
Loreto Region,229
Madre de Dios Region,184
Moquegua Region,143
Pasco Region,≤100
Piura Region,649
Puno Region,862
San Martín Region,368
Tacna Region,288
Tumbes Region,106
Ucayali Region,261
Unknown,≤100
