Location name,Amount spent (CHF)
Aargau,283
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,206
Basel-Landschaft,1099
Bern,380
Canton of Geneva,651
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,241
Fribourg,125
Graubünden,≤100
Jura,≤100
Luzern,130
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,129
Thurgau,≤100
Ticino,≤100
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,317
Zug,≤100
Zürich,13421
