Location name,Amount spent (IDR)
Aceh,917892
Bali,1701595
Bangka–Belitung Islands,365588
Banten,2362573
Bengkulu,573354
Central Java,8744262
Central Kalimantan,597939
Central Sulawesi,1211629
East Java,10499482
East Kalimantan,1409420
East Nusa Tenggara,2305173
Gorontalo,855355
Jakarta,5369019
Jambi,796520
Lampung,2389847
Maluku,430037
North Kalimantan,221824
North Maluku,342619
North Sulawesi,2231663
North Sumatra,4804510
Papua (province),921921
Riau,2216151
Riau Islands Province,602540
South Kalimantan,553357
South Sulawesi,4391522
South Sumatra,2658402
Southeast Sulawesi,782024
Special Region of Yogyakarta,1720866
Unknown,193595
West Java,10200083
West Kalimantan,1484768
West Nusa Tenggara,1666525
West Papua,308806
West Sulawesi,388225
West Sumatra,1365987
