Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
252185758819200,Babajide Sanwo-Olu,Babajide Sanwo-Olu,113883,19
492378324116772,The Lagos State Government,The Lagos State Government,22602,1
1572089193014869,DUMO Lulu-Briggs Recommended,DUMO Lulu-Briggs Recommended,21730,6
103809421141862,Grvforgovlagos,Grvforgovlagos,14151,2
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,13576,7
109187398481463,Peter Ndubuisi Mbah,Peter Ndubuisi Mbah,11833,3
1567614746869354,Daily Shopping,Awotidebe Oluwaseyifunmi,10799,3
111671415154722,The Time is Now,Team Caleb Mutfwang,9782,2
111671415154722,The Time is Now,Team Caleb Mutfwang,9782,2
105756478574505,Stears,Stears,8375,8
102516156017583,Glorious jy3,These ads ran without a disclaimer,7912,3
102022562383716,"Efiom ""Papa"" Okokon","Efiom ""Papa"" Okokon",7838,13
115798340116713,Ogouniquetv,Ogouniquetv,6649,9
103322465767953,Baba Gida Gida movement,Baba Gida Gida Movement,6354,1
331985171374192,Catch Them Young Community Initiative,Philemon Nwakile,5759,2
103959275862698,TYCON 2023,Tycon,5698,1
110806117813125,Comr. Chief Mrs. Beatrice Itubo,Comr. Chief Mrs. Beatrice Itubo,5398,7
1924396441113309,Onogwu Muhammed,Martins Onuorah,4981,2
109880244986042,Caleb Mutfwang,Team Caleb Mutfwang,4946,1
110808857137968,Marilyn Okowa-Daramola,Marilyn Okowa-Daramola,4611,1
1483156181977342,Precious Eze's Blog,Precious Eze's Blog,4454,10
105143599185359,Igwe Nnamdi Michael,Igwe Nnamdi Michael,3744,2
205279466743027,Lux Terra Leadership Foundation,Lux Terra Leadership Foundation,3684,2
105208365731340,F-SAO4Tinubu/Shettima2023,Emmanuel Oko,3648,1
522773744459687,Template for Good Governance,Ogbe Chukwunonso Daniel,2930,1
215863191948778,Frank Nweke Jr,Frank Nweke Ii,2690,3
101620952700531,Babandi Ibrahim,Babandi Gumel Ibrahim,2623,1
1509451939279618,Hon. Iduma Igariwey Enwo,Iduma Enwo Igariwey,2610,4
110043258402172,Hon. Habibu Abubakar Sambo -Imamu,Habibu Sambo Abubakar,2476,2
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,2335,1
102395884844650,CAPPA,Corporate Accountability and Public Participation Africa,2305,1
104180761873736,Massive Entertainment.ng,Massive Entertainment,2123,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1955,1
100202924924063,Page 36,Page 36,1879,8
101501795704961,Sen Yakubu Lado Tv,Ayodeji Adeola Badru,1828,6
126460284139483,Nigerianeye,NigerianEye,1632,1
102169824695398,Rero TV,Rero TV,1513,3
105588155794426,Core Groups Network For Kenneth GBAGI,Okonne Ikechukwu Benjamin,1487,3
112268064929703,Mailantarki Campaign Organisation 2023,Mailantarki Campaign Organisation 2023,1461,2
257077681149008,Stanley Nsemo-Livingstone,Stanley Nsemo-Livingstone,1389,3
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,1383,2
112349224687773,Kufre Ekpoh,Kufre Imo Ekpoh,1314,3
107676437643727,Inuwa Media Vanguard,Inuwa Media Vanguard,1252,2
211082306470490,Klick Media NG,Klick Media NG,1184,1
600402833721886,Erumura David 4 DTHA Uvwie Constituency,David Erumura Enawore,1142,2
106064468251927,Community Initiatives to Promote Peace,ARDA DCI,1088,3
104663752433213,GSM 2.0,Seyi Makinde Campaign Organisation,1070,1
1663913513914881,English Cameroon for a United Cameroon,English Cameroon for a United Cameroon,1061,1
2249254108728941,Alh. Yahaya Barambu Project,Alh. Yahaya Barambu Project,989,1
107869172167684,Tosabbey digital Advertising Agency,These ads ran without a disclaimer,989,2
2005706202975210,Child Protection & Peer Learning Initiative - CPPLI,Gidado Abdurrahman Ibrahim,951,1
258810957658900,Adamu A. Babale Makera,Adamu A. Babale Makera,922,3
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,These ads ran without a disclaimer,922,1
106353562400099,Hope,These ads ran without a disclaimer,883,1
105580098826545,"Rev. Fr. Hyacinth Iormem Alia, PhD","Rev. Fr. Hyacinth Iormem Alia, PhD",752,2
102376402591903,nworaemenike,These ads ran without a disclaimer,747,1
108796611296489,INUWA 4+4 TV,INUWA 4+4 TV,679,2
110412275223352,Bago Media Centre,Bago Media Centre,624,1
119723736100630,Ala - Delight Publicity Services,Moses Oyinkuro,555,3
100792702925766,Wakilin Gombe,Wakilin Gombe,547,1
101075832871727,Progressives For Renewed Hope,Progressives For Renewed Hope,524,2
101842055628119,yotender_global,These ads ran without a disclaimer,511,1
109450211203581,A Senator For All,Azeez Olasunkanmi Lekan,486,1
2162773263850270,Khalil Network,Khalil Network,461,1
294587734226015,Hon. Amb. Sobomabo Jackrich - Egberipapa,Hon. Amb. Sobomabo Jackrich - Egberipapa,461,1
316575672459262,Hon.Dr Ekene Augustine Aghasiefo,Hon.Dr Ekene Augustine Aghasiefo,459,1
101813086045206,Hon. Suleiman Abdulrazak Sariki,Hon. Suleiman Abdulrazak Sariki,442,1
1378356925818542,Advertise With Us,Joshua Keftin Amuga,426,2
102676068007860,Igtweettv,These ads ran without a disclaimer,410,1
105419899044947,Kelechi C Emenike,These ads ran without a disclaimer,371,1
111129445240046,Toyin Amuzu walks the talk,These ads ran without a disclaimer,356,1
1411848652232666,Mamo Mania,These ads ran without a disclaimer,339,1
101886116160600,SootCityng,X3M ideas,324,4
108820175107975,Barr. Peremobowei Gita Campaign Organization,Moses Oyinkuro,289,2
124252504303223,UNICEF (FR),These ads ran without a disclaimer,267,1
100658306310623,BBC News Nigeria,These ads ran without a disclaimer,186,2
112690837245787,Newsrand,Newsrand,132,1
104238252286926,Nwankwo Promise Chibuzo,Mboo Augustine Uchenna,128,2
382672421842823,Africa International Housing Show,Abuja International Housing Show,124,1
167878593236712,UNICEF en español,These ads ran without a disclaimer,111,2
104495602582335,OsoLife TV,These ads ran without a disclaimer,106,1
113482055010245,NTA NOWS,These ads ran without a disclaimer,≤100,1
101669926191334,Comeshowyourself,These ads ran without a disclaimer,≤100,1
111184605110664,Ajadi For Governor 2023,These ads ran without a disclaimer,≤100,1
108273695417913,Pedro A Oyesi,These ads ran without a disclaimer,≤100,1
103018869332378,BantuPage,Ikechukwu Orji,≤100,1
562471887119419,DHL Africa,These ads ran without a disclaimer,≤100,1
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
103074049372437,AeSci,These ads ran without a disclaimer,≤100,1
427747764026807,ShanghaiEye,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,2
105401362444586,America First News,These ads ran without a disclaimer,≤100,1
98876727842,Cummins Inc,These ads ran without a disclaimer,≤100,2
258237094650339,Voice Of More,Adeosun Abdulwahab Adebowale,≤100,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,1
112314738439063,Hon Elisha Matambo,These ads ran without a disclaimer,≤100,1
101364076007366,Doors Travelers,These ads ran without a disclaimer,≤100,1
106749458352222,afrikanizm_artgallery,These ads ran without a disclaimer,≤100,1
104830499126288,Mania Traver 1,These ads ran without a disclaimer,≤100,1
