Location name,Amount spent (PKR)
Azad Kashmir,2117
Balochistan,7714
Federally Administered Tribal Areas,642
Gilgit-Baltistan,1208
Islamabad Capital Territory,5333
Khyber Pakhtunkhwa,21860
Punjab,77032
Sindh,37639
Unknown,283
