Location name,Amount spent (EUR)
Alsace,581
Aquitaine,1176
Auvergne,371
Basse-Normandie,436
Bourgogne,427
Bretagne,1057
Centre,683
Champagne-Ardenne,364
Corse,163
Franche-Comté,299
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,548
Languedoc-Roussillon,1028
Limousin,194
Lorraine,687
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,933
New Caledonia,≤100
Nord-Pas-de-Calais,1369
Pays de la Loire,1411
Picardie,594
Poitou-Charentes,538
Provence-Alpes-Côte d'Azur,1958
Reunion Island,≤100
Rhône-Alpes,2095
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4567
