Location name,Amount spent (TRY)
Adana Province,967
Adıyaman Province,≤100
Afyonkarahisar Province,413
Aksaray Province,≤100
Amasya Province,266
Ankara Province,2045
Antalya Province,2149
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,607
Ağrı Province,≤100
Balıkesir Province,389
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,770
Denizli Province,302
Diyarbakır Province,204
Düzce Province,≤100
Edirne Province,363
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,251
Gaziantep Province,798
Giresun Province,103
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1111
Isparta Province,149
Istanbul Province,5940
Iğdır Province,≤100
Kahramanmaraş Province,622
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,280
Kilis Province,≤100
Kocaeli Province,300
Konya Province,476
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,140
Manisa Province,358
Mardin Province,≤100
Mersin Province,694
Muğla Province,316
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,151
Osmaniye Province,136
Rize Province,≤100
Sakarya Province,280
Samsun Province,1306
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,195
Tokat Province,108
Trabzon Province,238
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,112
Çanakkale Province,299
Çankırı Province,≤100
Çorum Province,122
İzmir Province,1599
Şanlıurfa Province,273
Şırnak Province,≤100
