Location name,Amount spent (PGK)
Chimbu Province,≤100
Eastern Highlands Province,≤100
Gulf Province,≤100
Hela Province,≤100
Madang Province,≤100
Manus Province,≤100
Morobe Province,≤100
New Ireland Province,≤100
Port Moresby,≤100
Sandaun Province,≤100
Southern Highlands Province,≤100
