Location name,Amount spent (CLP)
Antofagasta Region,88619
Araucanía Region,80558
Arica y Parinacota Region,34832
Atacama Region,40182
Aysén Region,15665
Bío Bío Region,167871
Coquimbo Region,147560
Los Lagos Region,80566
Los Ríos Region,26818
Magallanes y la Antártica Chilena Region,12517
Maule Region,61719
O'Higgins Region,75379
Santiago Metropolitan Region,1274304
Tarapacá Region,51552
Unknown,239
Valparaíso Region,224424
