Location name,Amount spent (MXN)
Aguascalientes,8559
Baja California,42120
Baja California Sur,7693
Campeche,9276
Chiapas,21868
Chihuahua,37495
Coahuila de Zaragoza,35002
Colima,7824
Distrito Federal,154825
Durango,7392
Guanajuato,35515
Guerrero,15806
Hidalgo,7884
Jalisco,85969
Michoacán de Ocampo,51220
Morelos,22439
Nayarit,5483
Nuevo León,155564
Oaxaca,32901
Puebla,51518
Querétaro Arteaga,23255
Quintana Roo,37047
San Luis Potosi,16395
Sinaloa,15611
Sonora,25899
State of Mexico,59956
Tabasco,10167
Tamaulipas,27484
Tlaxcala,5055
Unknown,≤100
Veracruz,36610
Yucatán,27429
Zacatecas,7648
