Location name,Amount spent (TND)
Ariana Governorate,246
Ben Arous Governorate,359
Bizerte Governorate,277
Béja Governorate,118
Gabès Governorate,233
Gafsa Governorate,176
Jendouba Governorate,156
Kairouan Governorate,199
Kasserine Governorate,130
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,190
Manouba Governorate,150
Medenine Governorate,315
Monastir Governorate,395
Nabeul Governorate,600
Sfax,386
Sidi Bouzid Governorate,134
Siliana Governorate,≤100
Sousse Governorate,428
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,1141
Zaghouan Governorate,≤100
