Location name,Amount spent (EGP)
Al Sharqia Governorate,1353
Alexandria Governorate,1004
Aswan Governorate,145
Asyut Governorate,337
Beheira Governorate,613
Beni Suef Governorate,211
Cairo Governorate,2623
Dakahlia Governorate,1114
Damietta Governorate,302
Faiyum Governorate,208
Gharbia Governorate,847
Giza Governorate,864
Ismailia Governorate,505
Kafr el-Sheikh Governorate,506
Luxor Governorate,102
Matrouh Governorate,≤100
Minya Governorate,484
Monufia Governorate,595
New Valley Governorate,367
North Sinai Governorate,≤100
Port Said Governorate,197
Qalyubia Governorate,723
Qena Governorate,277
Red Sea Governorate,≤100
Sohag Governorate,389
South Sinai Governorate,≤100
Suez Governorate,115
Unknown,≤100
