Location name,Amount spent (PKR)
Azad Kashmir,1122
Balochistan,1329
Federally Administered Tribal Areas,308
Gilgit-Baltistan,635
Islamabad Capital Territory,1522
Khyber Pakhtunkhwa,6956
Punjab,31076
Sindh,8260
Unknown,≤100
