Location name,Amount spent (UYU)
Artigas Department,126
Canelones Department,545
Cerro Largo Department,142
Colonia Department,217
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,302
Montevideo Department,2663
Paysandú Department,196
Rivera Department,315
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,276
San José Department,103
Soriano Department,123
Tacuarembó Department,132
Treinta y Tres Department,≤100
Unknown,≤100
