Page ID,Page name,Disclaimer,Amount spent (BMD),Number of ads in Library
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,10
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100,8
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,2
326937770773228,Government Press Office,These ads ran without a disclaimer,≤100,1
109988155233200,MisterAwesome,These ads ran without a disclaimer,≤100,1
