Location name,Amount spent (PKR)
Azad Kashmir,1355
Balochistan,2382
Federally Administered Tribal Areas,508
Gilgit-Baltistan,1040
Islamabad Capital Territory,2367
Khyber Pakhtunkhwa,11560
Punjab,34732
Sindh,13496
Unknown,≤100
