Location name,Amount spent (SEK)
Blekinge County,4468
Dalarna County,9973
Gotland County,2058
Gävleborg County,9394
Halland County,9550
Jämtland County,5099
Jönköping County,12214
Kalmar County,6850
Kronoberg County,5488
Norrbotten County,8408
Skåne County,46460
Stockholm County,86122
Södermanland County,9804
Unknown,≤100
Uppsala County,17586
Värmland County,8446
Västerbotten County,9168
Västernorrland County,7971
Västmanland County,8283
Västra Götaland County,54529
Örebro County,9258
Östergötland County,13810
