Location name,Amount spent (COP)
Amazonas,9895
Antioquia,8615385
Arauca,35839
Atlantico,1107885
Bolivar,894864
Boyaca,416579
Caldas,397612
Caqueta,114337
Casanare,200511
Cauca,250120
Cesar,205712
Choco,98472
Cordoba,714909
Cundinamarca,712708
Distrito Especial,4627787
Guainia,1933
Guaviare,40089
Huila,725185
La Guajira,133074
Magdalena,407212
Meta,749601
Narino,236085
Norte de Santander,760474
Putumayo,191825
Quindio,217407
Risaralda,580796
San Andres y Providencia,20188
Santander,949501
Sucre,1175933
Tolima,621781
Unknown,671
Valle del Cauca,3903127
Vaupes,786
Vichada,1793
