Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,17887,38
167924689961661,Unidad Nacional de la Esperanza,Leonel Aníbal Quiñónez Aguilar,1165,2
196258110831945,Partido Valor,Partido Valor,180,5
191866540866722,Elecciones Infantiles,Fundación Elecciones Infantiles de Centroamérica,126,2
643513979193133,Unidos por Beatriz,Neuma,≤100,5
103084629229632,Scanner Doc,These ads ran without a disclaimer,≤100,1
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,≤100,1
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,2
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
112984664528580,Investing Gaceta,These ads ran without a disclaimer,≤100,1
105208458849768,Zav Reading,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
