Location name,Amount spent (INR)
Andaman and Nicobar Islands,141
Andhra Pradesh,71787
Arunachal Pradesh,870
Assam,15083
Bihar,30775
Chandigarh,2717
Chhattisgarh,87074
Dadra and Nagar Haveli,1006
Delhi,38337
Goa,3336
Gujarat,43592
Haryana,34578
Himachal Pradesh,8454
Jammu and Kashmir,4496
Jharkhand,14431
Karnataka,42714
Kerala,12546
Lakshadweep,≤100
Madhya Pradesh,210367
Maharashtra,145403
Manipur,135
Meghalaya,795
Mizoram,2788
Nagaland,602
Odisha,9333
Puducherry,637
Punjab region,24148
Rajasthan,147824
Sikkim,700
Tamil Nadu,55630
Telangana,65795
Tripura,1561
Unknown,≤100
Uttar Pradesh,88389
Uttarakhand,17739
West Bengal,33359
