Location name,Amount spent (SEK)
Blekinge County,4158
Dalarna County,8596
Gotland County,1970
Gävleborg County,9343
Halland County,9303
Jämtland County,4463
Jönköping County,10399
Kalmar County,6288
Kronoberg County,5423
Norrbotten County,8233
Skåne County,42504
Stockholm County,80353
Södermanland County,8931
Unknown,≤100
Uppsala County,14464
Värmland County,8071
Västerbotten County,9079
Västernorrland County,7547
Västmanland County,8021
Västra Götaland County,52941
Örebro County,8722
Östergötland County,12836
