Location name,Amount spent (THB)
Amnat Charoen,101
Ang Thong,≤100
Ayutthaya,282
Bangkok,12754
Bueng Kan,≤100
Buriram,372
Chachoengsao,329
Chai Nat,≤100
Chaiyaphum,211
Chanthaburi,264
Chiang Mai,800
Chiang Rai,266
Chon Buri,2366
Chumphon,458
Kalasin,178
Kamphaeng Phet,138
Kanchanaburi,237
Khon Kaen,339
Krabi,345
Lampang,331
Lamphun,122
Loei,122
Lop Buri,132
Mae Hong Son,187
Maha Sarakham,184
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,541
Nakhon Phanom,121
Nakhon Ratchasima,3362
Nakhon Sawan,543
Nakhon Si Thammarat,1971
Nan,≤100
Narathiwat,180
Nong Bua Lam Phu,≤100
Nong Khai,104
Nonthaburi,458
Pathum Thani,381
Pattani,277
Phangnga,278
Phatthalung,378
Phayao,248
Phetchabun,168
Phetchaburi,396
Phichit,213
Phitsanulok,4542
Phrae,≤100
Phuket,4663
Prachin Buri,143
Prachuap Khiri Khan,347
Ranong,108
Ratchaburi,270
Rayong,245
Roi Et,268
Sa Kaeo,108
Sakon Nakhon,250
Samut Prakan,1057
Samut Sakhon,658
Samut Songkhram,528
Saraburi,167
Satun,192
Sing Buri,≤100
Sisaket,245
Songkhla,1991
Sukhothai,122
Suphan Buri,170
Surat Thani,6328
Surin,263
Tak,225
Trang,289
Trat,≤100
Ubon Ratchathani,434
Udon Thani,297
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,181
Yasothon,264
