Location name,Amount spent (MXN)
Aguascalientes,8096
Baja California,27558
Baja California Sur,6116
Campeche,27513
Chiapas,13750
Chihuahua,28958
Coahuila de Zaragoza,193584
Colima,4417
Distrito Federal,200285
Durango,14261
Guanajuato,30559
Guerrero,9369
Hidalgo,11043
Jalisco,95044
Michoacán de Ocampo,25530
Morelos,13341
Nayarit,8383
Nuevo León,103731
Oaxaca,13959
Puebla,25630
Querétaro Arteaga,15136
Quintana Roo,25527
San Luis Potosi,12640
Sinaloa,19002
Sonora,29972
State of Mexico,238756
Tabasco,12654
Tamaulipas,25355
Tlaxcala,5053
Unknown,989
Veracruz,29051
Yucatán,34644
Zacatecas,7595
