Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,750330
Apure,250000
Aragua,1000991
Barinas,500330
Bolívar (state),261574
Capital District,2302293
Carabobo,3500330
Cojedes,≤100
Delta Amacuro,≤100
Falcón,217500
Guárico,180000
Lara,1000330
Miranda (state),250000
Monagas,750000
Mérida,500000
Nueva Esparta,397501
Portuguesa,250000
Sucre,165000
Trujillo,250000
Táchira,717501
Unknown,≤100
Vargas,117500
Yaracuy,330
Zulia,5503964
