Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,5609,59
311627208673,WWF UK,WWF UK,5538,102
102639461303190,Fair Pay For All,Fair Pay For All,4323,109
10677003998,Shelter,Shelter,3648,340
61863318139,World Resources Institute,World Resources Institute with Facebook ad credits,3211,4
7715002593,UNICEF UK,Unicef UK,3079,10
353224381469808,ifaw,IFAW,1875,47
799576543492660,The Week Junior,The Week Junior,1779,58
158077247591710,Refuge,Refuge,1600,150
9250349228,Greenpeace UK,Greenpeace UK,1548,6
7214031395,Oxfam Great Britain,Oxfam Great Britain,1149,32
121936349543,World Vision UK,World Vision UK,1126,24
1660600037490738,Guardian Labs,Guardian Labs,1034,24
1562165810745599,Exit Hate UK,Exit UK,994,1
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),978,39
348366988862054,Oxfam Campaigns,Oxfam Great Britain,949,6
7527864602,WaterAid UK,WaterAid UK,889,55
35671512696,World Animal Protection UK,World Animal Protection UK,883,41
514212165305248,Leigh Day,Leigh Day,867,15
1645963095654688,Healthier Scotland,The Scottish Government,858,23
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,806,50
123311187737843,GSK,GSK,788,8
220543443746,International Rescue Committee - UK,International Rescue Committee UK,786,13
1613092172114946,DWP Digital,Department for Work and Pensions,778,4
18168505158,The Woodland Trust,Woodland Trust,743,70
248887561894779,Home Energy Scotland,Home Energy Scotland,685,20
117476785190,Save the Children UK,Save the Children UK,654,8
97708339756,Action for Children,Action for Children,618,41
7043497714,Christian Aid,Christian Aid,535,9
394936823930287,Age International,Age International,527,21
165099760197787,Welsh Government,Welsh Government,495,153
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,484,7
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,467,31
112712550420527,Sumofus UK,SumOfUs,466,2
490007667679401,Hugh James,Hugh James,457,6
