Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
1366892303449939,Partido Republicano,Partido Republicano,4057541,160
117971414554702,Juan Sutil,Juan Sutil Candidato,300273,58
257773836107444,Ricardo Ortega Perrier,Ricardo Ortega Perrier,288667,23
100606052976302,Gloria Hutt,Gloria Hutt,193564,20
1059804450772270,Antonio Barchiesi,Antonio Barchiesi,187019,3
418281855197789,Democracia Cristiana,Democracia Cristiana,149557,43
305958239880216,Cidere Región de Coquimbo,CIDERE Coquimbo,142543,14
105560941738247,Movilizando Chilenos,Movilizando Chilenos,141774,12
1445910269057442,Desarrolla Biobío,Roberto Rolando Moreno Arenas,135377,2
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,96224,7
150331635097423,Servicio Electoral de Chile,Servicio Electoral de Chile,91871,3
105091012517593,Bruno Baranda,Campaña Bruno Baranda,89798,3
105798328215264,Asistencia Familia,Asistencia Familia,85865,2
101761458511272,Jorge Insunza,Jorge Insunza,83348,20
173983195992422,Partido Por la Democracia - PPD,Partido Por la Democracia,76441,15
113153381003177,Natalia Piergentili,Natalia Piergentili,75027,15
111831181812892,Raimundo J. Palamara Stewart,Raimundo J. Palamara Stewart,73442,1
1548643738480723,Asistencia Deudores,Asistencia Deudores,73405,10
583194288451920,Compañía Minera del Pacífico,Martin Rodríguez Jickart,70039,3
102660885525434,Con mi plata NO,Con mi plata No,67003,30
632687896928177,Oscar Crisóstomo,Oscar Manuel Crisóstomo Llanos,66252,12
580663538777736,Consejo Minero,Feedback Comunicaciones,65357,3
105292082486576,Edmundo Eluchans,Edmundo Eluchans Urenda,56668,6
110951722267366,World Vision Chile,World Vision Chile,55247,4
107121248975540,Marcelo Schilling-Constitucional,Marcelo Gastón Rodriguez Schilling,53596,3
104782822559247,Jose Antonio Urrutia - Candidato Consejo Constitucional E-18,Agustin Orrego,52180,32
168872229926629,Mario Undurraga Consejero Constitucional,Mario Undurraga,51404,8
130550720303550,DuocUC,Duoc UC,51212,2
104189318481439,Minería y Futuro,Mineria y Futuro,43858,7
143360859486032,Alejandro Bernales Maldonado,Alejandro Bernales Maldonado,41416,1
110833717337374,Carolina Navarrete Rubio,Carolina Navarrete Rubio,39289,6
114628888236450,Andrés Palma Irarrázaval,Andres Palma Irarrazaval,38557,6
13212504705,Jorge Ivan Ulloa Aguillon,Jorge Ivan Ulloa Aguillon,38277,6
463509033710164,Walmart Chile Vivamos Mejor,Walmart Chile,35513,4
103946825976962,Cristian San Martín abogado constituyente,Cristian Daniel San Martin Carrasco,34953,15
115447711895370,Good Neighbors Chile,ONG Good Neighbors Chile,32310,3
116346351346835,Valeria Cárcamo Vidal,Valeria Angélica Cárcamo Vidal,32265,3
112303492123355,Rodrigo Delgado,Rodrigo Delgado,30155,14
335068640271176,Nataly Neira,Nataly Neira,30147,17
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,29688,5
201179280058809,CCU,CCU,28968,1
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,28298,7
102586276093037,Sergio Bitar,Sergio Bitar,28053,4
137870152908799,Fundación Para La Confianza,Fundación para la confianza,27831,3
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,27298,3
591373478191895,Samuel Galvez Derpich,Samuel Andrés Gálvez Derpich,27033,4
1101427233255754,Christopher White,Christopher White Bahamondes,26897,7
164433517709728,María Ignacia Castro Rojas,Jorge Luis Andres Hermosilla Torres,24851,8
103527991214141,Cero DICOM,Cero Dicom,24398,8
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,23977,4
378598039556864,María José Puigrredón,María José Puigrredón,23605,4
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,23483,10
103030962615298,Chile YAAC,Chile YAAC,22863,11
116719478002146,Andrés Zaldívar L,Andrés Zaldívar L,20727,1
100537472438913,Futuro Madera,Futuro Madera,20534,1
100447419569628,Demócratas Chile,Demócratas,20431,6
337766483715142,Tremendas_cl,TREMENDAS with Facebook ad credits,19855,1
116710021362220,Mario Rios Santander,Mario Enrique Rios Santander,19422,1
