Location name,Amount spent (IDR)
Aceh,4135921
Bali,3206497
Bangka–Belitung Islands,860211
Banten,6179866
Bengkulu,1604014
Central Java,18280110
Central Kalimantan,1464032
Central Sulawesi,1804456
East Java,16006864
East Kalimantan,3712487
East Nusa Tenggara,3502065
Gorontalo,1113410
Jakarta,19483185
Jambi,1738340
Lampung,7810021
Maluku,2772084
North Kalimantan,708085
North Maluku,909387
North Sulawesi,4785824
North Sumatra,7584508
Papua (province),1253502
Riau,3687226
Riau Islands Province,1687149
South Kalimantan,2226105
South Sulawesi,8255374
South Sumatra,7780203
Southeast Sulawesi,1492385
Special Region of Yogyakarta,2009302
Unknown,28924
West Java,21724304
West Kalimantan,3135348
West Nusa Tenggara,2476608
West Papua,764054
West Sulawesi,913208
West Sumatra,4162729
