Location name,Amount spent (GTQ)
Alta Verapaz Department,2244
Baja Verapaz Department,933
Chimaltenango Department,2173
Chiquimula Department,1429
El Progreso Department,768
Escuintla Department,3873
Guatemala Department,71304
Huehuetenango Department,3809
Izabal Department,2746
Jalapa Department,1029
Jutiapa Department,1970
Petén Department,1989
Quetzaltenango Department,3977
Quiché Department,2539
Retalhuleu Department,1206
Sacatepéquez Department,2845
San Marcos Department,9528
Santa Rosa Department,1145
Sololá Department,1502
Suchitepéquez Department,1926
Totonicapán Department,1220
Unknown,≤100
Zacapa Department,878
