Location name,Amount spent (AUD)
Australian Capital Territory,851
Jervis Bay Territory,≤100
New South Wales,18917
Norfolk Island,≤100
Northern Territory,467
Queensland,12442
South Australia,4947
Tasmania,1487
Unknown,≤100
Victoria,16409
Western Australia,6222
